NumberOfBoxes;LengthOfSideInv
6,25575004175337;-1,6094379124341
5,99396142730657;-1,79175946922805
5,82304589548302;-1,94591014905531
5,63835466933375;-2,07944154167984
5,5834963087817;-2,19722457733622
5,41164605185504;-2,30258509299405
5,28826703069454;-2,39789527279837
5,0998664278242;-2,484906649788
5,00394630594546;-2,56494935746154
4,90527477843843;-2,63905732961526
4,81218435537242;-2,70805020110221
4,77068462446567;-2,77258872223978
4,81218435537242;-2,83321334405622
4,66343909411207;-2,89037175789617
4,63472898822964;-2,94443897916644
4,56434819146784;-2,99573227355399
4,55387689160054;-3,04452243772342
4,45434729625351;-3,09104245335832
4,40671924726425;-3,13549421592915
4,17438726989564;-3,17805383034795
4,27666611901606;-3,2188758248682
4,20469261939097;-3,25809653802148
4,29045944114839;-3,29583686600433
4,11087386417331;-3,3322045101752
4,07753744390572;-3,36729582998647
4,0943445622221;-3,40119738166216
4,0943445622221;-3,43398720448515
3,78418963391826;-3,46573590279973
3,80666248977032;-3,49650756146648
3,80666248977032;-3,52636052461616
3,89182029811063;-3,55534806148941
3,85014760171006;-3,58351893845611
3,89182029811063;-3,61091791264422
3,8286413964891;-3,63758615972639
3,49650756146648;-3,66356164612965
3,52636052461616;-3,68887945411394
3,49650756146648;-3,71357206670431
3,52636052461616;-3,73766961828337
3,46573590279973;-3,76120011569356
3,63758615972639;-3,78418963391826
3,58351893845611;-3,80666248977032
3,52636052461616;-3,8286413964891
3,55534806148941;-3,85014760171006
3,29583686600433;-3,87120101090789
3,25809653802148;-3,89182029811063
3,29583686600433;-3,91202300542815
3,29583686600433;-3,93182563272433
3,29583686600433;-3,95124371858143
3,25809653802148;-3,97029191355212
3,25809653802148;-3,98898404656427
3,25809653802148;-4,00733318523247
3,3322045101752;-4,02535169073515
3,3322045101752;-4,04305126783455
3,2188758248682;-4,06044301054642
3,25809653802148;-4,07753744390572
3,29583686600433;-4,0943445622221
3,29583686600433;-4,11087386417331
3,29583686600433;-4,12713438504509
3,25809653802148;-4,14313472639153
2,77258872223978;-4,15888308335967
2,77258872223978;-4,17438726989564
2,94443897916644;-4,18965474202643
2,94443897916644;-4,20469261939097
2,94443897916644;-4,21950770517611
2,94443897916644;-4,23410650459726
2,89037175789616;-4,24849524204936
2,70805020110221;-4,26267987704132
2,83321334405622;-4,27666611901606
2,89037175789616;-4,29045944114839
2,89037175789616;-4,30406509320417
2,89037175789616;-4,31748811353631
2,89037175789616;-4,33073334028633
2,89037175789616;-4,34380542185368
2,89037175789616;-4,35670882668959
2,94443897916644;-4,36944785246702
2,89037175789616;-4,38202663467388
2,83321334405622;-4,39444915467244
2,83321334405622;-4,40671924726425
2,89037175789616;-4,4188406077966
2,83321334405622;-4,43081679884331
2,83321334405622;-4,44265125649032
2,77258872223978;-4,45434729625351
2,77258872223978;-4,46590811865458
2,77258872223978;-4,47733681447821
2,77258872223978;-4,48863636973214
2,77258872223978;-4,49980967033027
2,70805020110221;-4,51085950651685
2,70805020110221;-4,52178857704904
2,70805020110221;-4,53259949315326
2,70805020110221;-4,54329478227
2,70805020110221;-4,55387689160054
2,19722457733622;-4,56434819146784
2,19722457733622;-4,57471097850338
2,30258509299405;-4,58496747867057
2,30258509299405;-4,59511985013459
2,30258509299405;-4,60517018598809
